Drug_A,MolecularWeight_A,XLogP_A,TPSA_A,Charge_A,HBondDonorCount_A,HBondAcceptorCount_A,RotatableBondCount_A,Volume3D_A,CanonicalSMILES_A,IsomericSMILES_A,Drug_B,MolecularWeight_B,XLogP_B,TPSA_B,Charge_B,HBondDonorCount_B,HBondAcceptorCount_B,RotatableBondCount_B,Volume3D_B,CanonicalSMILES_B,IsomericSMILES_B,Level
Benzthiazide,431.9,1.7,161.0,0.0,2.0,7.0,5.0,293.2,C1=CC=C(C=C1)CSCC2=NS(=O)(=O)C3=CC(=C(C=C3N2)Cl)S(=O)(=O)N,C1=CC=C(C=C1)CSCC2=NS(=O)(=O)C3=CC(=C(C=C3N2)Cl)S(=O)(=O)N,Dexlansoprazole,369.4,2.8,87.1,0.0,1.0,8.0,5.0,264.3,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,CC1=C(C=CN=C1C[S@@](=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,Moderate
Dicoumarol,336.3,2.6,93.1,0.0,2.0,6.0,2.0,248.5,C1=CC=C2C(=C1)C(=C(C(=O)O2)CC3=C(C4=CC=CC=C4OC3=O)O)O,C1=CC=C2C(=C1)C(=C(C(=O)O2)CC3=C(C4=CC=CC=C4OC3=O)O)O,Dexlansoprazole,369.4,2.8,87.1,0.0,1.0,8.0,5.0,264.3,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,CC1=C(C=CN=C1C[S@@](=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,Moderate
Dexlansoprazole,369.4,2.8,87.1,0.0,1.0,8.0,5.0,264.3,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,CC1=C(C=CN=C1C[S@@](=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,Duvelisib,416.9,4.1,86.8,0.0,2.0,5.0,4.0,308.5,CC(C1=CC2=C(C(=CC=C2)Cl)C(=O)N1C3=CC=CC=C3)NC4=NC=NC5=C4NC=N5,C[C@@H](C1=CC2=C(C(=CC=C2)Cl)C(=O)N1C3=CC=CC=C3)NC4=NC=NC5=C4NC=N5,Moderate
Erlotinib,393.4,3.3,74.7,0.0,1.0,7.0,11.0,308.9,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,Dexlansoprazole,369.4,2.8,87.1,0.0,1.0,8.0,5.0,264.3,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,CC1=C(C=CN=C1C[S@@](=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,Major
Etacrynic acid,303.13,3.8,63.6,0.0,1.0,4.0,6.0,218.5,CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)O)Cl)Cl,CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)O)Cl)Cl,Dexlansoprazole,369.4,2.8,87.1,0.0,1.0,8.0,5.0,264.3,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,CC1=C(C=CN=C1C[S@@](=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,Moderate
Fluconazole,306.27,0.4,81.7,0.0,1.0,7.0,5.0,220.7,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,Dexlansoprazole,369.4,2.8,87.1,0.0,1.0,8.0,5.0,264.3,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,CC1=C(C=CN=C1C[S@@](=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,Moderate
Hydroflumethiazide,331.3,0.4,135.0,0.0,3.0,10.0,1.0,205.0,C1NC2=C(C=C(C(=C2)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N1,C1NC2=C(C=C(C(=C2)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N1,Dexlansoprazole,369.4,2.8,87.1,0.0,1.0,8.0,5.0,264.3,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,CC1=C(C=CN=C1C[S@@](=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,Moderate
Imatinib,493.6,3.5,86.3,0.0,2.0,7.0,7.0,390.1,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,Dexlansoprazole,369.4,2.8,87.1,0.0,1.0,8.0,5.0,264.3,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,CC1=C(C=CN=C1C[S@@](=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,Moderate
Indapamide,365.8,2.9,101.0,0.0,2.0,5.0,3.0,263.6,CC1CC2=CC=CC=C2N1NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N,CC1CC2=CC=CC=C2N1NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N,Dexlansoprazole,369.4,2.8,87.1,0.0,1.0,8.0,5.0,264.3,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,CC1=C(C=CN=C1C[S@@](=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,Moderate
Indinavir,613.8,2.8,118.0,0.0,4.0,7.0,12.0,490.5,CC(C)(C)NC(=O)C1CN(CCN1CC(CC(CC2=CC=CC=C2)C(=O)NC3C(CC4=CC=CC=C34)O)O)CC5=CN=CC=C5,CC(C)(C)NC(=O)[C@@H]1CN(CCN1C[C@H](C[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H]3[C@@H](CC4=CC=CC=C34)O)O)CC5=CN=CC=C5,Dexlansoprazole,369.4,2.8,87.1,0.0,1.0,8.0,5.0,264.3,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,CC1=C(C=CN=C1C[S@@](=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,Moderate
Itraconazole,705.6,5.7,101.0,0.0,0.0,9.0,11.0,525.7,CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5COC(O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl,CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OC[C@H]5CO[C@](O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl,Dexlansoprazole,369.4,2.8,87.1,0.0,1.0,8.0,5.0,264.3,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,CC1=C(C=CN=C1C[S@@](=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,Moderate
Kanamycin,484.5,-6.9,283.0,0.0,11.0,15.0,6.0,335.4,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)O)O)OC3C(C(C(C(O3)CO)O)N)O)N,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)N)O)N,Dexlansoprazole,369.4,2.8,87.1,0.0,1.0,8.0,5.0,264.3,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,CC1=C(C=CN=C1C[S@@](=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,Moderate
Ketoconazole,531.4,4.3,69.1,0.0,0.0,6.0,7.0,390.3,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OC[C@H]3CO[C@](O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl,Dexlansoprazole,369.4,2.8,87.1,0.0,1.0,8.0,5.0,264.3,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,CC1=C(C=CN=C1C[S@@](=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,Moderate
Lapatinib,581.1,5.1,115.0,0.0,2.0,9.0,11.0,435.4,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl,Dexlansoprazole,369.4,2.8,87.1,0.0,1.0,8.0,5.0,264.3,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,CC1=C(C=CN=C1C[S@@](=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,Moderate
Levothyroxine,776.87,2.4,92.8,0.0,3.0,5.0,5.0,318.8,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)O)N,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)C[C@@H](C(=O)O)N,Dexlansoprazole,369.4,2.8,87.1,0.0,1.0,8.0,5.0,264.3,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,CC1=C(C=CN=C1C[S@@](=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,Moderate
Liothyronine,650.97,1.7,92.8,0.0,3.0,5.0,5.0,292.2,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)CC(C(=O)O)N)I)I)O,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)C[C@@H](C(=O)O)N)I)I)O,Dexlansoprazole,369.4,2.8,87.1,0.0,1.0,8.0,5.0,264.3,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,CC1=C(C=CN=C1C[S@@](=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,Moderate
Metolazone,365.8,4.1,101.0,0.0,2.0,5.0,2.0,262.8,CC1NC2=CC(=C(C=C2C(=O)N1C3=CC=CC=C3C)S(=O)(=O)N)Cl,CC1NC2=CC(=C(C=C2C(=O)N1C3=CC=CC=C3C)S(=O)(=O)N)Cl,Dexlansoprazole,369.4,2.8,87.1,0.0,1.0,8.0,5.0,264.3,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,CC1=C(C=CN=C1C[S@@](=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,Moderate
Mycophenolate mofetil,433.5,3.2,94.5,0.0,1.0,8.0,10.0,336.7,CC1=C2COC(=O)C2=C(C(=C1OC)CC=C(C)CCC(=O)OCCN3CCOCC3)O,CC1=C2COC(=O)C2=C(C(=C1OC)C/C=C(\C)/CCC(=O)OCCN3CCOCC3)O,Dexlansoprazole,369.4,2.8,87.1,0.0,1.0,8.0,5.0,264.3,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,CC1=C(C=CN=C1C[S@@](=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,Moderate
Naproxen,230.26,3.3,46.5,0.0,1.0,3.0,3.0,183.5,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,Dexlansoprazole,369.4,2.8,87.1,0.0,1.0,8.0,5.0,264.3,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,CC1=C(C=CN=C1C[S@@](=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,Moderate
Nelfinavir,567.8,5.7,127.0,0.0,4.0,6.0,10.0,450.8,CC1=C(C=CC=C1O)C(=O)NC(CSC2=CC=CC=C2)C(CN3CC4CCCCC4CC3C(=O)NC(C)(C)C)O,CC1=C(C=CC=C1O)C(=O)N[C@@H](CSC2=CC=CC=C2)[C@@H](CN3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)NC(C)(C)C)O,Dexlansoprazole,369.4,2.8,87.1,0.0,1.0,8.0,5.0,264.3,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,CC1=C(C=CN=C1C[S@@](=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,Major
Neomycin,614.6,-9.0,353.0,0.0,13.0,19.0,9.0,424.1,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)N)OC3C(C(C(O3)CO)OC4C(C(C(C(O4)CN)O)O)N)O)O)N,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)N)O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O[C@@H]4[C@@H]([C@H]([C@@H]([C@@H](O4)CN)O)O)N)O)O)N,Dexlansoprazole,369.4,2.8,87.1,0.0,1.0,8.0,5.0,264.3,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,CC1=C(C=CN=C1C[S@@](=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,Moderate
Dexlansoprazole,369.4,2.8,87.1,0.0,1.0,8.0,5.0,264.3,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,CC1=C(C=CN=C1C[S@@](=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,Neratinib,557.0,4.9,112.0,0.0,2.0,8.0,11.0,431.3,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)OCC4=CC=CC=N4)Cl)C#N)NC(=O)C=CCN(C)C,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)OCC4=CC=CC=N4)Cl)C#N)NC(=O)/C=C/CN(C)C,Major
Nilotinib,529.5,4.9,97.6,0.0,2.0,9.0,6.0,398.0,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,Dexlansoprazole,369.4,2.8,87.1,0.0,1.0,8.0,5.0,264.3,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,CC1=C(C=CN=C1C[S@@](=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,Moderate
Oxcarbazepine,252.27,1.7,63.4,0.0,1.0,2.0,0.0,194.9,C1C2=CC=CC=C2N(C3=CC=CC=C3C1=O)C(=O)N,C1C2=CC=CC=C2N(C3=CC=CC=C3C1=O)C(=O)N,Dexlansoprazole,369.4,2.8,87.1,0.0,1.0,8.0,5.0,264.3,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,CC1=C(C=CN=C1C[S@@](=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,Moderate
Paromomycin,615.6,-8.7,347.0,0.0,13.0,19.0,9.0,423.2,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CO)O)O)N)OC3C(C(C(O3)CO)OC4C(C(C(C(O4)CN)O)O)N)O)O)N,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)N)O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O[C@@H]4[C@@H]([C@H]([C@@H]([C@@H](O4)CN)O)O)N)O)O)N,Dexlansoprazole,369.4,2.8,87.1,0.0,1.0,8.0,5.0,264.3,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,CC1=C(C=CN=C1C[S@@](=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,Moderate
Dexlansoprazole,369.4,2.8,87.1,0.0,1.0,8.0,5.0,264.3,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,CC1=C(C=CN=C1C[S@@](=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,Pazopanib,437.5,3.1,127.0,0.0,2.0,8.0,5.0,331.9,CC1=C(C=C(C=C1)NC2=NC=CC(=N2)N(C)C3=CC4=NN(C(=C4C=C3)C)C)S(=O)(=O)N,CC1=C(C=C(C=C1)NC2=NC=CC(=N2)N(C)C3=CC4=NN(C(=C4C=C3)C)C)S(=O)(=O)N,Major
Pentamidine,340.4,2.6,118.0,0.0,4.0,4.0,10.0,274.9,C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N,C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N,Dexlansoprazole,369.4,2.8,87.1,0.0,1.0,8.0,5.0,264.3,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,CC1=C(C=CN=C1C[S@@](=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,Moderate
Dexlansoprazole,369.4,2.8,87.1,0.0,1.0,8.0,5.0,264.3,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,CC1=C(C=CN=C1C[S@@](=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,Plazomicin,592.7,-6.2,269.0,0.0,11.0,15.0,13.0,432.5,CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CNCCO)N)N)NC(=O)C(CCN)O)O,C[C@@]1(CO[C@@H]([C@@H]([C@H]1NC)O)O[C@H]2[C@@H](C[C@@H]([C@H]([C@@H]2O)O[C@@H]3[C@@H](CC=C(O3)CNCCO)N)N)NC(=O)[C@H](CCN)O)O,Moderate
Dexlansoprazole,369.4,2.8,87.1,0.0,1.0,8.0,5.0,264.3,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,CC1=C(C=CN=C1C[S@@](=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,Prasugrel,373.4,3.6,74.9,0.0,0.0,6.0,6.0,285.3,CC(=O)OC1=CC2=C(S1)CCN(C2)C(C3=CC=CC=C3F)C(=O)C4CC4,CC(=O)OC1=CC2=C(S1)CCN(C2)C(C3=CC=CC=C3F)C(=O)C4CC4,Minor
Dexlansoprazole,369.4,2.8,87.1,0.0,1.0,8.0,5.0,264.3,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,CC1=C(C=CN=C1C[S@@](=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,Rilpivirine,366.4,4.5,97.4,0.0,2.0,6.0,5.0,289.7,CC1=CC(=CC(=C1NC2=NC(=NC=C2)NC3=CC=C(C=C3)C#N)C)C=CC#N,CC1=CC(=CC(=C1NC2=NC(=NC=C2)NC3=CC=C(C=C3)C#N)C)/C=C/C#N,Major
Dexlansoprazole,369.4,2.8,87.1,0.0,1.0,8.0,5.0,264.3,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,CC1=C(C=CN=C1C[S@@](=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,Riociguat,422.4,1.6,138.0,0.0,2.0,9.0,5.0,311.9,CN(C1=C(N=C(N=C1N)C2=NN(C3=C2C=CC=N3)CC4=CC=CC=C4F)N)C(=O)OC,CN(C1=C(N=C(N=C1N)C2=NN(C3=C2C=CC=N3)CC4=CC=CC=C4F)N)C(=O)OC,Moderate
Salsalate,258.23,3.0,83.8,0.0,2.0,5.0,4.0,193.0,C1=CC=C(C(=C1)C(=O)OC2=CC=CC=C2C(=O)O)O,C1=CC=C(C(=C1)C(=O)OC2=CC=CC=C2C(=O)O)O,Dexlansoprazole,369.4,2.8,87.1,0.0,1.0,8.0,5.0,264.3,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,CC1=C(C=CN=C1C[S@@](=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,Minor
Dexlansoprazole,369.4,2.8,87.1,0.0,1.0,8.0,5.0,264.3,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,CC1=C(C=CN=C1C[S@@](=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,Selpercatinib,525.6,2.5,112.0,0.0,1.0,9.0,8.0,404.1,CC(C)(COC1=CN2C(=C(C=N2)C#N)C(=C1)C3=CN=C(C=C3)N4CC5CC(C4)N5CC6=CN=C(C=C6)OC)O,CC(C)(COC1=CN2C(=C(C=N2)C#N)C(=C1)C3=CN=C(C=C3)N4CC5CC(C4)N5CC6=CN=C(C=C6)OC)O,Major
Tolevamer,228.31,2.9,62.8,0.0,1.0,3.0,4.0,177.1,CCC(CC)C1=CC=C(C=C1)S(=O)(=O)O,CCC(CC)C1=CC=C(C=C1)S(=O)(=O)O,Dexlansoprazole,369.4,2.8,87.1,0.0,1.0,8.0,5.0,264.3,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,CC1=C(C=CN=C1C[S@@](=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,Moderate
Streptomycin,581.6,-8.0,336.0,0.0,12.0,15.0,9.0,400.9,CC1C(C(C(O1)OC2C(C(C(C(C2O)O)N=C(N)N)O)N=C(N)N)OC3C(C(C(C(O3)CO)O)O)NC)(C=O)O,C[C@H]1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H]([C@H]2O)O)N=C(N)N)O)N=C(N)N)O[C@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)NC)(C=O)O,Dexlansoprazole,369.4,2.8,87.1,0.0,1.0,8.0,5.0,264.3,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,CC1=C(C=CN=C1C[S@@](=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,Moderate
Tobramycin,467.5,-6.2,268.0,0.0,10.0,14.0,6.0,328.6,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(CC(C(O3)CN)O)N)N,C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)N)O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)CN)O)N)N,Dexlansoprazole,369.4,2.8,87.1,0.0,1.0,8.0,5.0,264.3,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,CC1=C(C=CN=C1C[S@@](=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,Moderate
Torasemide,348.4,2.7,109.0,0.0,3.0,5.0,5.0,264.1,CC1=CC(=CC=C1)NC2=C(C=NC=C2)S(=O)(=O)NC(=O)NC(C)C,CC1=CC(=CC=C1)NC2=C(C=NC=C2)S(=O)(=O)NC(=O)NC(C)C,Dexlansoprazole,369.4,2.8,87.1,0.0,1.0,8.0,5.0,264.3,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,CC1=C(C=CN=C1C[S@@](=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,Moderate
Trichlormethiazide,380.7,0.6,135.0,0.0,3.0,7.0,2.0,231.2,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)NC(N2)C(Cl)Cl,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)NC(N2)C(Cl)Cl,Dexlansoprazole,369.4,2.8,87.1,0.0,1.0,8.0,5.0,264.3,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,CC1=C(C=CN=C1C[S@@](=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,Moderate
Vandetanib,475.4,4.9,59.5,0.0,1.0,7.0,6.0,332.4,CN1CCC(CC1)COC2=C(C=C3C(=C2)N=CN=C3NC4=C(C=C(C=C4)Br)F)OC,CN1CCC(CC1)COC2=C(C=C3C(=C2)N=CN=C3NC4=C(C=C(C=C4)Br)F)OC,Dexlansoprazole,369.4,2.8,87.1,0.0,1.0,8.0,5.0,264.3,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,CC1=C(C=CN=C1C[S@@](=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,Minor
Voriconazole,349.31,1.5,76.7,0.0,1.0,8.0,5.0,250.8,CC(C1=NC=NC=C1F)C(CN2C=NC=N2)(C3=C(C=C(C=C3)F)F)O,C[C@@H](C1=NC=NC=C1F)[C@](CN2C=NC=N2)(C3=C(C=C(C=C3)F)F)O,Dexlansoprazole,369.4,2.8,87.1,0.0,1.0,8.0,5.0,264.3,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,CC1=C(C=CN=C1C[S@@](=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,Moderate
Warfarin,308.3,2.7,63.6,0.0,1.0,4.0,4.0,241.0,CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O,CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O,Dexlansoprazole,369.4,2.8,87.1,0.0,1.0,8.0,5.0,264.3,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,CC1=C(C=CN=C1C[S@@](=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,Moderate
Dronabinol,314.5,7.0,29.5,0.0,1.0,2.0,4.0,260.6,CCCCCC1=CC(=C2C3C=C(CCC3C(OC2=C1)(C)C)C)O,CCCCCC1=CC(=C2[C@@H]3C=C(CC[C@H]3C(OC2=C1)(C)C)C)O,Dexmedetomidine,200.28,3.1,28.7,0.0,1.0,1.0,2.0,168.5,CC1=C(C(=CC=C1)C(C)C2=CN=CN2)C,CC1=C(C(=CC=C1)[C@H](C)C2=CN=CN2)C,Moderate
Nabilone,372.5,6.4,46.5,0.0,1.0,3.0,6.0,306.5,CCCCCCC(C)(C)C1=CC(=C2C3CC(=O)CCC3C(OC2=C1)(C)C)O,CCCCCCC(C)(C)C1=CC(=C2[C@@H]3CC(=O)CC[C@H]3C(OC2=C1)(C)C)O,Dexmedetomidine,200.28,3.1,28.7,0.0,1.0,1.0,2.0,168.5,CC1=C(C(=CC=C1)C(C)C2=CN=CN2)C,CC1=C(C(=CC=C1)[C@H](C)C2=CN=CN2)C,Moderate
Dexmedetomidine,200.28,3.1,28.7,0.0,1.0,1.0,2.0,168.5,CC1=C(C(=CC=C1)C(C)C2=CN=CN2)C,CC1=C(C(=CC=C1)[C@H](C)C2=CN=CN2)C,Papaverine,339.4,3.9,49.8,0.0,0.0,5.0,6.0,267.7,COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC,COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC,Moderate
